episode,step,is_eval,epsilon,action,vx_cmd,wz_cmd,reward,dist_goal,dist_box,contact,in_goal
1,0,0,1.0,0,0.3,0.0,0.11762102815201426,2.648284528683964,0.7549772146158381,0,0
1,1,0,1.0,0,0.3,0.0,0.051312806547143375,2.6421532480292496,0.7572027031057333,0,0
1,2,0,1.0,0,0.3,0.0,0.018443078854970457,2.6393089401437524,0.7472646702929118,0,0
1,3,0,1.0,1,0.18,0.6,0.04936438456568274,2.6333125016871843,0.677075698039095,0,0
1,4,0,1.0,3,0.0,0.0,0.03970632022653972,2.6283418696645304,0.7010956386758769,0,0
1,5,0,1.0,1,0.18,0.6,0.02438284104132961,2.6248435855603973,0.694233708228048,0,0
1,6,0,1.0,3,0.0,0.0,0.01921197496787007,2.62192238806361,0.6837794516203821,0,0
1,7,0,1.0,0,0.3,0.0,0.040290036853098135,2.6168933843783004,0.6301822092456584,0,0
1,8,0,1.0,0,0.3,0.0,0.07218321247567551,2.608675063130733,0.6238986364042696,0,0
1,9,0,1.0,3,0.0,0.0,0.00997839695039854,2.606677223435693,0.5628376551294759,0,0
1,10,0,1.0,1,0.18,0.6,0.11542798764745903,2.5940744246709473,0.5690110765477302,0,0
1,11,0,1.0,1,0.18,0.6,0.03391440226854447,2.589622984444093,0.6501739653781746,0,0
1,12,0,1.0,1,0.18,0.6,0.04758455880557415,2.5838045285635354,0.5921468174123117,0,0
1,13,0,1.0,2,0.18,-0.6,0.033190885782892525,2.579425439985246,0.5006142133334428,0,0
1,14,0,1.0,1,0.18,0.6,0.09137586197373018,2.569227853787873,0.48395524059264206,0,0
1,15,0,1.0,1,0.18,0.6,0.019697858991817294,2.566198067888691,0.5268540458556619,0,0
1,16,0,1.0,0,0.3,0.0,-0.016043023576233557,2.566198067888691,0.5329169265454446,0,0
1,17,0,1.0,1,0.18,0.6,-0.03317659212484702,2.566198067888691,0.5064305529587723,0,0
1,18,0,1.0,3,0.0,0.0,-0.04916879382398931,2.566198067888691,0.5649095780473132,0,0
1,19,0,1.0,3,0.0,0.0,0.06964643511717336,2.5582334243769735,0.5517330279707906,0,0
1,20,0,1.0,3,0.0,0.0,0.03262932968574143,2.5539704914083994,0.5445335719206966,0,0
1,21,0,1.0,1,0.18,0.6,0.07212247549311927,2.5456982438590874,0.514420084063838,0,0
1,22,0,1.0,1,0.18,0.6,-0.01893356812668224,2.5456982438590874,0.4422961377246484,1,0
1,23,0,1.0,2,0.18,-0.6,0.06472487407030048,2.538165756452057,0.5321999398369563,0,0
1,24,0,1.0,3,0.0,0.0,0.009776465220315477,2.5361881099300256,0.5112157550609222,0,0
1,25,0,1.0,0,0.3,0.0,0.12648075449327761,2.522540034480698,0.508334810460038,0,0
1,26,0,1.0,3,0.0,0.0,0.003057359408464617,2.5212342985398517,0.5184379198822507,0,0
1,27,0,1.0,2,0.18,-0.6,0.04410491209732611,2.515763807330119,0.5060588662586956,0,0
1,28,0,1.0,3,0.0,0.0,-0.05839853864142217,2.515763807330119,0.5261238311859372,0,0
1,29,0,1.0,0,0.3,0.0,0.04620898198240423,2.5101429091318783,0.5519164088562575,0,0
1,30,0,1.0,2,0.18,-0.6,0.034647261262086136,2.50561818300567,0.47566161371503873,0,0
1,31,0,1.0,2,0.18,-0.6,0.04541557472420541,2.500016625533249,0.543643105584906,0,0
1,32,0,1.0,3,0.0,0.0,-0.016336924917260503,2.500016625533249,0.5080488311440761,0,0
1,33,0,1.0,0,0.3,0.0,0.0022563231096726834,2.498790993222282,0.46654832681181485,0,0
1,34,0,1.0,3,0.0,0.0,-0.013007749472006523,2.498790993222282,0.41934904307348664,1,0
1,35,0,1.0,0,0.3,0.0,0.0019905564623903353,2.497591937576043,0.40086998599122525,1,0
1,36,0,1.0,3,0.0,0.0,0.003345934859789207,2.496257344090064,0.45839956682057553,0,0
1,37,0,1.0,2,0.18,-0.6,0.10953274081667644,2.4842440700083963,0.4498902481398731,1,0
1,38,0,1.0,3,0.0,0.0,0.012278968619539926,2.4820161731464423,0.4792913115149675,0,0
1,39,0,1.0,3,0.0,0.0,-0.008714218413991216,2.4818875949878416,0.40817079739662715,1,0
1,40,0,1.0,2,0.18,-0.6,0.07558822814812441,2.473268772173029,0.44394488958944844,1,0
1,41,0,1.0,3,0.0,0.0,0.015620104571920425,2.470706761715837,0.4070031033209197,1,0
1,42,0,1.0,1,0.18,0.6,0.04155890750768138,2.465490870965069,0.38337231056639426,1,0
1,43,0,1.0,1,0.18,0.6,0.0374115505068869,2.46068971591438,0.43524771827546116,1,0
1,44,0,1.0,2,0.18,-0.6,0.11058318533572623,2.4485713973808076,0.4620244460118476,0,0
1,45,0,1.0,3,0.0,0.0,0.020949804791133182,2.4454764169016943,0.48908960559408304,0,0
1,46,0,1.0,1,0.18,0.6,0.04891031253574227,2.43952538564812,0.4860630671346004,0,0
1,47,0,1.0,1,0.18,0.6,0.02245419250495704,2.436219966397624,0.48382836913259747,0,0
1,48,0,1.0,1,0.18,0.6,0.13979787946505046,2.421180178451119,0.5185899423027505,0,0
1,49,0,1.0,1,0.18,0.6,0.03571531906292547,2.4165486465448263,0.4997128762174096,0,0
1,50,0,1.0,0,0.3,0.0,0.01542040033657017,2.4140066065111694,0.5009439867095369,0,0
1,51,0,1.0,2,0.18,-0.6,0.06506182774010322,2.406440423737159,0.44321912042949935,1,0
1,52,0,1.0,2,0.18,-0.6,0.0688534078896681,2.3984950829481924,0.4204402296087595,1,0
1,53,0,1.0,0,0.3,0.0,0.10706884626595344,2.386788198321597,0.415145549119885,1,0
1,54,0,1.0,3,0.0,0.0,0.06770920198640941,2.379017278122956,0.3968204774044446,1,0
1,55,0,1.0,3,0.0,0.0,-0.012519354660831252,2.379017278122956,0.40881281149524057,1,0
1,56,0,1.0,0,0.3,0.0,0.09223793196658155,2.368793484926298,0.41578928615406274,1,0
1,57,0,1.0,0,0.3,0.0,0.0006590422508974837,2.3677275807012084,0.41127630720250574,1,0
1,58,0,1.0,0,0.3,0.0,0.050889789541622425,2.361638601747046,0.38840424939582596,1,0
1,59,0,1.0,2,0.18,-0.6,0.023475788284305597,2.3582310229186154,0.4583073389697717,0,0
1,60,0,1.0,1,0.18,0.6,0.03378454074553746,2.3537925688440615,0.4244704334846594,1,0
1,61,0,1.0,1,0.18,0.6,0.07488451331249762,2.3452441175128116,0.4296953525751495,1,0
1,62,0,1.0,2,0.18,-0.6,0.04636744534776329,2.339547372978035,0.46094742501716923,0,0
1,63,0,1.0,3,0.0,0.0,0.01854501663570742,2.3366928713144643,0.47543502505521296,0,0
1,64,0,1.0,3,0.0,0.0,0.03756801937565637,2.3319360693768987,0.4867804820086046,0,0
1,65,0,1.0,2,0.18,-0.6,0.024723122036381086,2.3284037571732608,0.47228919287181564,0,0
1,66,0,1.0,0,0.3,0.0,0.029161106587827522,2.324487646514478,0.46858085458111365,0,0
1,67,0,1.0,2,0.18,-0.6,0.006280604229971778,2.322799586091481,0.3952838159119706,1,0
1,68,0,1.0,1,0.18,0.6,0.05292619698393582,2.3164469663930873,0.3418229939137428,1,0
1,69,0,1.0,2,0.18,-0.6,-0.02867912394180501,2.3164469663930873,0.3567562252664104,1,0
1,70,0,1.0,0,0.3,0.0,0.021557872155058375,2.3132911791775816,0.36163998793358265,1,0
1,71,0,1.0,0,0.3,0.0,0.028765849923014432,2.3094145941852804,0.31798111628741527,1,0
1,72,0,1.0,2,0.18,-0.6,-0.00034070055424062495,2.3083886642407045,0.29738402737926684,1,0
1,73,0,1.0,1,0.18,0.6,0.038464687750168806,2.303482195465688,0.2644456240186191,1,0
